Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
0.640607 5.65 10.54 5.15 8.06 5.81 10.44 4.83 7.75 0.57 1.02 -0.34 -0.06 0.72 1.19 -0.23 0.02 
0.634202 5.67 10.57 5.18 8.11 5.83 10.48 4.87 7.80 0.57 1.02 -0.34 -0.06 0.73 1.19 -0.23 0.02 
0.625559 5.69 10.60 5.22 8.16 5.84 10.50 4.90 7.85 0.57 1.01 -0.34 -0.06 0.72 1.19 -0.23 0.02 
0.619238 5.60 10.40 5.21 8.07 5.75 10.32 4.89 7.76 0.56 1.01 -0.34 -0.06 0.72 1.19 -0.23 0.02 
0.623854 5.63 10.46 5.23 8.12 5.78 10.38 4.91 7.81 0.56 1.02 -0.34 -0.06 0.72 1.19 -0.23 0.02 
0.610250 5.58 10.35 5.24 8.08 5.72 10.27 4.91 7.77 0.56 1.02 -0.34 -0.06 0.72 1.18 -0.22 0.02 
0.605237 5.52 10.22 5.23 8.01 5.66 10.15 4.89 7.70 0.55 1.01 -0.34 -0.06 0.72 1.18 -0.23 0.02 
0.598694 5.53 10.22 5.30 8.08 5.66 10.16 4.95 7.78 0.55 1.02 -0.34 -0.06 0.72 1.18 -0.23 0.02 
0.596648 5.49 10.14 5.30 8.05 5.63 10.08 4.95 7.74 0.55 1.01 -0.34 -0.06 0.72 1.17 -0.23 0.02 
0.593757 5.47 10.11 5.27 8.00 5.61 10.05 4.92 7.69 0.54 1.00 -0.34 -0.06 0.71 1.17 -0.23 0.01 
0.592258 5.48 10.13 5.26 7.99 5.62 10.07 4.92 7.69 0.55 1.00 -0.34 -0.06 0.71 1.17 -0.23 0.02 
0.593797 5.47 10.11 5.28 8.00 5.62 10.06 4.93 7.71 0.54 1.00 -0.34 -0.07 0.71 1.17 -0.23 0.01 
0.592083 5.48 10.12 5.26 7.99 5.62 10.06 4.91 7.69 0.55 1.00 -0.34 -0.06 0.71 1.17 -0.23 0.02 
0.591749 5.46 10.08 5.28 7.99 5.59 10.02 4.93 7.69 0.55 1.01 -0.34 -0.06 0.71 1.17 -0.23 0.02 
0.591446 5.46 10.09 5.28 7.99 5.60 10.03 4.93 7.69 0.55 1.01 -0.34 -0.06 0.71 1.17 -0.23 0.02 
0.591459 5.41 9.98 5.26 7.92 5.55 9.93 4.90 7.62 0.54 1.00 -0.34 -0.06 0.71 1.16 -0.23 0.02 
0.599870 5.42 10.00 5.26 7.94 5.55 9.94 4.91 7.64 0.54 1.01 -0.34 -0.06 0.71 1.17 -0.23 0.02 
0.578718 5.54 10.25 5.32 8.11 5.68 10.18 4.97 7.80 0.55 1.00 -0.34 -0.06 0.72 1.17 -0.23 0.02 
0.574771 5.63 10.45 5.37 8.24 5.77 10.37 5.02 7.94 0.55 1.00 -0.34 -0.06 0.72 1.18 -0.23 0.02 
0.570235 5.65 10.49 5.33 8.21 5.79 10.40 4.99 7.90 0.55 0.99 -0.34 -0.07 0.72 1.18 -0.23 0.02 
0.563269 5.69 10.60 5.33 8.25 5.84 10.50 5.00 7.95 0.55 1.00 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.566050 5.70 10.61 5.33 8.26 5.84 10.51 5.00 7.95 0.56 1.00 -0.33 -0.06 0.72 1.19 -0.22 0.02 
0.565447 5.73 10.66 5.38 8.34 5.87 10.57 5.05 8.03 0.56 1.00 -0.33 -0.06 0.72 1.19 -0.22 0.02 
0.564778 5.70 10.61 5.32 8.24 5.84 10.52 4.99 7.94 0.56 1.00 -0.33 -0.06 0.72 1.19 -0.22 0.02 
0.552919 5.74 10.69 5.35 8.31 5.88 10.59 5.02 8.00 0.55 0.99 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.553613 5.78 10.79 5.36 8.36 5.92 10.67 5.03 8.04 0.55 0.99 -0.33 -0.06 0.72 1.19 -0.22 0.02 
0.552424 5.73 10.68 5.35 8.30 5.87 10.58 5.02 7.99 0.55 0.99 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.545024 5.70 10.61 5.33 8.25 5.84 10.50 5.00 7.93 0.55 0.99 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.537973 5.70 10.61 5.33 8.24 5.83 10.50 5.00 7.93 0.55 0.99 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.530993 5.72 10.65 5.32 8.23 5.86 10.54 4.99 7.92 0.55 0.98 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.530315 5.64 10.50 5.27 8.12 5.78 10.39 4.94 7.81 0.55 0.98 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.534084 5.65 10.51 5.29 8.14 5.79 10.41 4.95 7.84 0.55 0.99 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.518951 5.64 10.49 5.29 8.13 5.78 10.39 4.95 7.82 0.54 0.98 -0.33 -0.06 0.72 1.17 -0.22 0.02 
0.515769 5.67 10.56 5.30 8.16 5.81 10.45 4.96 7.85 0.55 0.98 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.515466 5.71 10.63 5.35 8.25 5.85 10.52 5.01 7.93 0.55 0.98 -0.33 -0.06 0.72 1.18 -0.22 0.02 
0.520186 5.72 10.65 5.34 8.24 5.86 10.55 5.00 7.94 0.55 0.98 -0.33 -0.05 0.72 1.18 -0.22 0.03 
0.503480 5.67 10.56 5.34 8.19 5.80 10.44 4.99 7.87 0.54 0.97 -0.33 -0.06 0.72 1.17 -0.22 0.02 
0.497362 5.66 10.53 5.38 8.22 5.79 10.41 5.03 7.90 0.54 0.97 -0.33 -0.06 0.71 1.17 -0.22 0.02 
0.496025 5.58 10.35 5.37 8.12 5.69 10.23 5.00 7.80 0.53 0.96 -0.33 -0.06 0.71 1.16 -0.22 0.02 
0.498101 5.56 10.30 5.37 8.10 5.67 10.19 4.99 7.78 0.53 0.96 -0.33 -0.06 0.71 1.16 -0.22 0.02 
0.497024 5.60 10.39 5.37 8.14 5.71 10.26 5.00 7.81 0.53 0.96 -0.33 -0.06 0.71 1.16 -0.22 0.01 
